[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss],STRING[7],USHORT[DEC.0],STRING[14],ULONG[DEC.0],USHORT[DEC.0],ULONG[DEC.0],USHORT[DEC.0],BIT[1;0]
TIME,ライン名：W0～W3,バンクNo：W70,金型名：W71～W77,SPM(設定値)：W78～W79,SPM(実測値)：D2510,ショット数：W30～W31,ゼロリセット：ブランクW4,トリガー：B2
2020/09/29 01:00:00,No.24SC,2,13T001       ,200,213,1489,0,1
2020/09/29 02:00:00,No.24SC,2,13T001       ,200,200,9910,0,1
2020/09/29 03:00:00,No.24SC,2,13T001       ,200,201,10945,0,1
2020/09/29 04:00:00,No.24SC,2,13T001       ,200,0,8290,0,1
2020/09/29 05:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/09/29 06:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/09/29 07:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/09/29 08:00:00,No.24SC,2,13T001       ,200,0,0,0,1
2020/09/29 09:00:00,No.24SC,2,13T001       ,200,201,4707,0,1
2020/09/29 10:00:00,No.24SC,2,13T001       ,200,201,8393,0,1
2020/09/29 11:00:00,No.24SC,2,13T001       ,200,81,10186,0,1
2020/09/29 12:00:00,No.24SC,2,13T001       ,200,213,7696,0,1
2020/09/29 13:00:00,No.24SC,2,13T001       ,200,81,3556,0,1
2020/09/29 14:00:00,No.24SC,2,13T001       ,200,201,9437,0,1
2020/09/29 15:00:00,No.24SC,2,13T001       ,200,201,8747,0,1
2020/09/29 16:00:00,No.24SC,2,13T001       ,200,201,6774,0,1
2020/09/29 17:00:00,No.24SC,2,13T001       ,200,201,11030,0,1
2020/09/29 18:00:00,No.24SC,2,13T001       ,200,213,7877,0,1
2020/09/29 19:00:00,No.24SC,2,13T001       ,200,201,8381,0,1
2020/09/29 20:00:00,No.24SC,2,13T001       ,200,201,10936,0,1
2020/09/29 21:00:00,No.24SC,2,13T001       ,200,0,10294,0,1
2020/09/29 22:00:00,No.24SC,2,13T001       ,200,201,9111,0,1
2020/09/29 23:00:00,No.24SC,2,13T001       ,200,200,11059,0,1
2020/09/30 00:00:00,No.24SC,2,13T001       ,200,201,9447,0,1
